id;code;code_secteur;secteur;code_sous_secteur;sous_secteur;nom;version;date_debut;date_fin;metropole;outre_mer;no_version
AGRI-EQ-101v14-1;AGRI-EQ-101;AGRI;Agriculture;EQ;Equipement;Module d'intégration de température installé sur un ordinateur climatique;A14-1;01/01/2015;;1;1;1
AGRI-EQ-102v14-1;AGRI-EQ-102;AGRI;Agriculture;EQ;Equipement;Double écran thermique;A14-1;01/01/2015;;1;1;1
AGRI-EQ-104v14-1;AGRI-EQ-104;AGRI;Agriculture;EQ;Equipement;Ecrans thermiques latéraux;A14-1;01/01/2015;;1;1;1
AGRI-EQ-105v28-1;AGRI-EQ-105;AGRI;Agriculture;EQ;Equipement;Stop & Start pour véhicules agricoles à moteur;A28-1;19/12/2018;;1;1;1
AGRI-EQ-107v38-1;AGRI-EQ-107;AGRI;Agriculture;EQ;Equipement;Isolation des parois de serre;A38-1;31/07/2021;;1;1;1
AGRI-EQ-108v38-1;AGRI-EQ-108;AGRI;Agriculture;EQ;Equipement;Stockage d'eau pour une serre bioclimatique;A38-1;31/07/2021;;1;1;1
AGRI-EQ-109v38-1;AGRI-EQ-109;AGRI;Agriculture;EQ;Equipement;Couverture performante de serre;A38-1;31/07/2021;;1;1;1
AGRI-EQ-110v38-1;AGRI-EQ-110;AGRI;Agriculture;EQ;Equipement;Séchage solaire par insufflation des produits et co-produits agricoles et forestiers utilisant des panneaux solaires hybrides;A38-1;31/07/2021;;1;1;1
AGRI-SE-101v19-1;AGRI-SE-101;AGRI;Agriculture;SE;Service;Contrôle et préconisations de réglage du moteur d'un tracteur;A19-1;04/01/2016;31/03/2022;1;1;1
AGRI-SE-101v40-2;AGRI-SE-101;AGRI;Agriculture;SE;Service;Contrôle et préconisations de réglage du moteur d'un tracteur;A40-2;01/04/2022;;1;1;2
AGRI-TH-101v14-1;AGRI-TH-101;AGRI;Agriculture;TH;Thermique;Dispositif de stockage d'eau chaude de type « Open Buffer »;A14-1;01/01/2015;;1;1;1
AGRI-TH-102v14-1;AGRI-TH-102;AGRI;Agriculture;TH;Thermique;Dispositif de stockage d'eau chaude;A14-1;01/01/2015;;1;1;1
AGRI-TH-103v15-1;AGRI-TH-103;AGRI;Agriculture;TH;Thermique;Pré-refroidisseur de lait;A15-1;01/01/2015;;1;1;1
AGRI-TH-104v16-1;AGRI-TH-104;AGRI;Agriculture;TH;Thermique;Système de récupération de chaleur sur un groupe de production de froid hors tanks à lait;A16-1;01/01/2015;31/03/2018;1;1;1
AGRI-TH-104v27-2;AGRI-TH-104;AGRI;Agriculture;TH;Thermique;Système de récupération de chaleur sur un groupe de production de froid hors tanks à lait;A27-2;01/04/2018;30/09/2020;1;1;2
AGRI-TH-104v35-3;AGRI-TH-104;AGRI;Agriculture;TH;Thermique;Système de récupération de chaleur sur un groupe de production de froid hors tanks à lait;A35-3;01/10/2020;;1;1;3
AGRI-TH-105v16-1;AGRI-TH-105;AGRI;Agriculture;TH;Thermique;Récupérateur de chaleur sur tank à lait;A16-1;01/01/2015;;1;1;1
AGRI-TH-108v15-1;AGRI-TH-108;AGRI;Agriculture;TH;Thermique;Pompe à chaleur de type air/eau ou eau/eau;A15-1;01/01/2015;30/09/2020;1;1;1
AGRI-TH-108v35-2;AGRI-TH-108;AGRI;Agriculture;TH;Thermique;Pompe à chaleur de type air/eau ou eau/eau;A35-2;01/10/2020;;1;1;2
